Count;;;N NI;;;Count of objects available in this stream
StreamCount;;;N NI;;;Count of streams of that kind available
StreamKind;Text;Text;N NI;;;Stream name
StreamKindID;;;N NI;;;When multiple streams, number of the stream
Inform;;;N NT;;;Last **Inform** call
ID;;;N YI;;;A ID for this stream in this file
UniqueID;;;N YI;;;A unique ID for this stream, should be copied with stream copy
Codec;;;N YT;;;Codec used
Codec/String;;;Y NT;;;Codec used (test)
Codec/Info;;;Y NT;;;Info about codec
Codec/Url;;;Y YT;;;Codec used (test)
PlayTime;; ms;N YI;;;Play time of the stream
PlayTime/String;;;Y NT;;;Play time (formated)
PlayTime/String1;;;N NT;;;Play time in format : HHh MMmn SSs MMMms, XX omited if zero
PlayTime/String2;;;N NT;;;Play time in format : XXx YYy only, YYy omited if zero
PlayTime/String3;;;N NT;;;Play time in format : HH:MM:SS.MMM
BitRate;; bps;N YF;;;Bit rate in bps
BitRate/String;;;Y NT;;;Bit rate (with measurement)
BitRate_Mode;;;Y NT;;;Bit rate mode (VBR, CBR)
Width;; pixels;N YI;;;Width
Width/String;;;Y NT;;;
Height;; pixels;N YI;;;Height
Height/String;;;Y NT;;;
FrameCount;;;N NI;;;Frame count
Resolution;; bit;N YI;;;
Resolution/String;;;Y NT;;;
Delay;; ms;N YI;;;Delay fixed in the stream (relative)
Delay/String;;;N NT;;;
Delay/String1;;;N NT;;;
Delay/String2;;;N NT;;;
Delay/String3;;;N NT;;;
Video0_Delay;; ms;N NI;;;Delay fixed in the stream (absolute / video0)
Video0_Delay/String;;;Y NT;;;;;
Video0_Delay/String1;;;N NT;;;;;
Video0_Delay/String2;;;N NT;;;;;
Video0_Delay/String3;;;N NT;;;;;
StreamSize;; byte;N YI;;;Stream size in bytes;;
StreamSize/String;;;Y NT;;;;;
StreamSize/String1;;;N NT;;;;;
StreamSize/String2;;;N NT;;;;;
StreamSize/String3;;;N NT;;;;;
StreamSize/String4;;;N NT;;;;;
Title;;;Y YI;;;Name of the track;;
Language;;;N YT;;;Language (2 letters);;
Language/String;;;Y NT;;;Language (full);;
Language_More;;;Y YT;;;More info about Language (director's comment...);;
Summary;;;N NT;;;;;
Encoded_Date;;;Y YT;;;The time that the encoding of this item was completed began.;;Temporal
Tagged_Date;;;Y YT;;;The time that the tags were done for this item.;;Temporal
Encryption;;;Y YT;;;;;
